block_number,timestamp,owner_address,token_address,token_symbol,token_amount
211598775,2024-05-15 15:37:42,0xab251d31431cdbed50f34ba68407bdf5115b237f,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-1000.0
211598775,2024-05-15 15:37:42,0x80cccdc774134be31539251bffdd1078d5aa5612,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-130.713871
211598775,2024-05-15 15:37:42,0x8a20129de1597bf4e044db52711987357cbcd999,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,-2500.0
211598775,2024-05-15 15:37:42,0x9a9bb2d2c599304899119acf3ddc6a7f8bd08087,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-8000.0
211598775,2024-05-15 15:37:42,0xdae9f434bd3c99de9dd0aae8cb94d2a3e15c6588,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,0.33
211598775,2024-05-15 15:37:42,0x7707a6dc67444927140a9e3d01779f58997f4ce3,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,0.372366
211598775,2024-05-15 15:37:42,0x44e5161e39cfb5be1ace740a1f6089db031ab1f5,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,0.5
211598775,2024-05-15 15:37:42,0x79ea001c6f745c4732dff38db8c1f61bb7453219,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,0.002986999544373865
211598775,2024-05-15 15:37:42,0x1aac8c450dae9ae32e5dffed104de012963c0c19,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,0.008
211598775,2024-05-15 15:37:42,0xd68d601b4a8a0e782f7a2a36f93c7aada89f17aa,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,99.920568
211598775,2024-05-15 15:37:42,0xf1f4aee1c202602daf066fbc8d8424928ec9e845,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,93.6245
211598775,2024-05-15 15:37:42,0x66a9927f465c21a576b3ce5de00239323875e1d0,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,0.059874751717557746
211598775,2024-05-15 15:37:42,0x0384af3a95757b13e6499c6df0df5763742bf08a,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,17773.0
211598775,2024-05-15 15:37:42,0xe5d671d71005126241c1fb69a395301dd330d241,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,2.0
